recipient_uei,IHE,recipient_name,recipient_name_raw,recipient_parent_name,recipient_parent_uei,recipient_city_name,recipient_state_code,prime_award_base_transaction_description,total_obligated_amount,period_of_performance_start_date,period_of_performance_end_date,period_of_performance_potential_end_date,primary_place_of_performance_country_name,generated_unique_award_id,award_type
LKTNULLR6FL6,N,JSI RESEARCH & TRAINING INSTITUTE INC,"JSI RESEARCH AND TRAINING INSTITUTE, INC.",JSI RESEARCH & TRAINING INSTITUTE INC,LKTNULLR6FL6,BOSTON,MA,THE PARTNERSHIPS PLUS TEAM SUPPORTS THIS GOAL THROUGH THE MANAGEMENT OF GRANTS AWARDED TO GRANTEES SELECTED IN FULL COLLABORATION WITH USAID TECHNICAL EVALUATION COMMITTEE (TEC) MEMBERS.,26733594,9/28/18,3/31/27,NA,UNITED STATES,ASST_NON_7200AA18CA00032_7200,COOPERATIVE AGREEMENT (B)
JJHCMK4NT5N3,N,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,JJHCMK4NT5N3,RESEARCH TRIANGLE PARK,NC,"TO ADDRESS CHALLENGES AND GAPS, RTI¿S SUSTAIN TEAM HAS DESIGNED A CAPACITY STRENGTHENING FOR SUSTAINABILITY APPROACH FOR CEP-NTD ELEMENT 2. THROUGH SEVEN IMPLEMENTATION STRATEGIES, SUSTAIN WILL SUPPORT COUNTRIES TO ACCELERATE PROGRESS NOW; ADDRESS BARRIERS WITH INNOVATION; DOCUMENT AND SHARE SUCCESSES; IDENTIFY LONG-TERM CONTROL PLATFORMS; AND STRENGTHEN LOCAL CAPACITY FOR PLANNING, BUDGETING, AND DELIVERY SO THAT NTD PROGRAMS CAN CONTINUE WITH HIGH LEVELS OF EFFECTIVENESS. SUSTAIN EXPERTS AND COUNTRY TEAMS WILL TAILOR THIS CAPACITY STRENGTHENING APPROACH AND STRATEGIES THROUGH REGULAR COMMUNICATION WITH USAID¿S NTD STAFF AND MINISTRIES OF HEALTH (MOHS). DATA AND CONTEXT WILL BE INCREASINGLY IMPORTANT AT THE COUNTRY LEVEL AS ELIMINATION APPROACHES; COVERAGE CHALLENGES IN THE LAST ENDEMIC AREAS ARE UNIQUE, REQUIRING INNOVATIVE STRATEGIES BASED ON ACCURATE DATA IN A SPECIFIC CONTEXT.",276998810,9/17/18,9/16/26,NA,UNITED STATES,ASST_NON_7200AA18CA00040_7200,COOPERATIVE AGREEMENT (B)
PKFJZHG2MLG9,N,NATIONAL ACADEMY OF SCIENCES,NATIONAL ACADEMY OF SCIENCES,NATIONAL ACADEMY OF SCIENCES,PKFJZHG2MLG9,WASHINGTON,DC,FORUM ON MICROBIAL THREATS,2200000,10/1/18,9/30/28,NA,UNITED STATES,ASST_NON_7200AA18GR00003_7200,PROJECT GRANT (B)
KLL1BBSP8MX4,N,AMERICAN NATIONAL STANDARDS INSTITUTE INCORPORATED,"AMERICAN NATIONAL STANDARDS INSTITUTE, INCORPORATED",AMERICAN NATIONAL STANDARDS INSTITUTE INCORPORATED,KLL1BBSP8MX4,WASHINGTON,DC,THE STANDARDS ALLIANCE: PHASE 2 ACTIVITY,10650000,7/12/19,7/11/26,NA,ETHIOPIA,ASST_NON_7200AA19CA00012_7200,COOPERATIVE AGREEMENT (B)
LKTNULLR6FL6,N,JSI RESEARCH & TRAINING INSTITUTE INC,JSI RESEARCH & TRAINING INC,NA,NA,BOSTON,MA,TUBERCULOSIS IMPLEMENTATION FRAMEWORK AGREEMENT (TIFA),60381935,7/22/19,6/15/27,NA,INDIA,ASST_NON_7200AA19CA00013_7200,COOPERATIVE AGREEMENT (B)
LKTNULLR6FL6,N,JSI RESEARCH & TRAINING INSTITUTE INC,"JSI RESEARCH AND TRAINING INSTITUTE, INC.",JSI RESEARCH & TRAINING INSTITUTE INC,LKTNULLR6FL6,BOSTON,MA,COUNTRY HEALTH INFORMATION SYSTEMS AND DATA USE (CHISU),105873546,8/1/20,7/31/26,NA,SOUTH AFRICA,ASST_NON_7200AA20CA00009_7200,COOPERATIVE AGREEMENT (B)
EUKNN2GGF514,N,WORLD RESOURCES INSTITUTE,WORLD RESOURCES INSTITUTE INC,WORLD RESOURCES INSTITUTE,EUKNN2GGF514,WASHINGTON,DC,"CATALYZING CLEAN AIR SOLUTIONS (CCAIRS)THE PURPOSE OF THIS COOPERATIVE AGREEMENT IS TO ADDRESS THE OBSTACLES TO CLEAN AIR PROGRESS BY MAKING THE CAUSES OF POLLUTION MORE VISIBLE, TANGIBLE, AND PERSONAL AND BY BUILDING A VIVID, SHARED UNDERSTANDING OF THE PATHWAY TO CLEAN AIR WITH A FOCUS ON THREE CENTRAL OBJECTIVES: A) TO IMPROVE AIR QUALITY AND REDUCE ASSOCIATED HEALTH INEQUITIES IN THE PILOT REGIONS; B) TO BUILD PILOT REGIONS' LONG-TERM AIR POLLUTION MANAGEMENT CAPACITY; AND C) TO REFINE AND DEMONSTRATE A SCALABLE AND COST-EFFECTIVE METHODOLOGY FOR CATALYZING CLEAN AIR ACTION IN LOW AND MIDDLE INCOME COUNTRIES.",18685896,8/3/20,8/2/25,NA,UNITED STATES,ASST_NON_7200AA20CA00014_7200,COOPERATIVE AGREEMENT (B)
LKTNULLR6FL6,N,JSI RESEARCH & TRAINING INSTITUTE INC,"JSI RESEARCH AND TRAINING INSTITUTE, INC.",JSI RESEARCH & TRAINING INSTITUTE INC,LKTNULLR6FL6,BOSTON,MA,"THE PROVISION OF TARGETED TECHNICAL AND CAPACITY DEVELOPMENT ASSISTANCE TO USAID MISSIONS, PARTNER COUNTRIES, AND LOCAL ORGANIZATIONS TOWARDS ADDRESSING ENTRENCHED OBSTACLES CONTRIBUTING TO STAGNATING AND DECLINING IMMUNIZATION RATES TO ADVANCE COUNTRY PROGRESS ALONG THE JOURNEY TO SELF-RELIANCE; AND 2) CONTRIBUTIONS TO GLOBAL TECHNICAL LEADERSHIP AND POLICY-DIALOGUE FOR ACHIEVEMENT OF MNCH/FP/RH GOALS",144634306,7/27/20,6/30/26,NA,UNITED STATES,ASST_NON_7200AA20CA00017_7200,COOPERATIVE AGREEMENT (B)
MKLQWJZWEJU4,N,INSTITUTE FOR FINANCIAL MANAGEMENT & RESEARCH,INSTITUTE FOR FINANCIAL MANAGEMENT & RESEARCH,NA,NJ5CJRXD3KJ3,NA,NA,MATH GAMES,1500000,10/1/20,12/31/25,NA,INDIA,ASST_NON_7200AA20FA00029_7200,COOPERATIVE AGREEMENT (B)
W75XYDHC2CM1,N,AFRICAN INSTITUTE FOR DEVELOPMENT POLICY,AFRICAN INSTITUTE FOR DEVELOPMENT POLICY,NA,NA,NA,NA,"POLICY, ADVOCACY, AND COMMUNICATION ENHANCED FOR POPULATION AND REPRODUCTIVE HEALTH (PACE) - POPULATION ENVIRONMENT DEVELOPMENT (PED)  TWO AREAS OF FOCUS:  (1) STRENGTHENING INDIVIDUAL AND INSTITUTIONAL CAPACITY IN ADVOCACY, AND POLICY COMMUNICATIONS AND NEGOTIATIONS; AND (2) INCREASING COMMITMENT FOR CROSS-SECTORAL APPROACHES TO INTEGRATED POPULATION, HEALTH, ENVIRONMENT, CLIMATE CHANGE, RESILIENCE, FOOD SECURITY, LIVELIHOODS",6197265,4/13/21,4/12/26,NA,KENYA,ASST_NON_7200AA21CA00002_7200,COOPERATIVE AGREEMENT (B)
M6NEX42VFN74,N,THE AQUAYA INSTITUTE,"AQUAYA INSTITUTE, THE",NA,NA,SAN ANSELMO,CA,A COOPERATIVE AGREEMENT TO IMPLEMENT THE RURAL WATER RESEARCH AND LEARNING PROGRAM TO ADDRESS RURAL WATER   SUPPLY DEVELOPMENT,11939260,9/15/21,9/14/26,NA,UNITED STATES,ASST_NON_7200AA21CA00014_7200,COOPERATIVE AGREEMENT (B)
E1KJPMG7LYZ6,N,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,DESPACHO PRESIDENCIAL,NA,NA,NA,PERUVIAN EXTENSION AND RESEARCH UTILIZATION HUB (PERU-HUB),13188056,9/20/21,9/19/26,NA,PERU,ASST_NON_7200AA21CA00030_7200,COOPERATIVE AGREEMENT (B)
EUKNN2GGF514,N,WORLD RESOURCES INSTITUTE,WORLD RESOURCES INSTITUTE INC,WORLD RESOURCES INSTITUTE,EUKNN2GGF514,WASHINGTON,DC,THE PURPOSE OF THIS CORPORATIVE AGREEMENT IS PROVIDE SUPPORT TO THE BUSINESS CASE FOR COLLECTIVE LANDSCAPE ACTION.,8471973,9/24/21,9/23/26,NA,UNITED STATES,ASST_NON_7200AA21CA00035_7200,COOPERATIVE AGREEMENT (B)
FHNEDVNGVLE8,N,LEMBAGA PENYELIDIKAN EKONOMI MASYARAKAT LPEM FAKULTAS EKONOMI UNIVERSITAS INDONESIA,LEMBAGA PENYELIDIKAN EKONOMI MASYARAKAT LPEM FAKULTAS EKONOMI UNIVERSITAS INDONESIA,NA,NA,NA,NA,NURTURING PARENTS AND CHILDREN IN INDONESIA: AN EARLY-STIMULATION INTERVENTION,200000,7/21/21,7/20/25,NA,INDONESIA,ASST_NON_7200AA21FA00007_7200,PROJECT GRANT (B)
