"recipient_uei","IHE","recipient_name","recipient_name_raw","recipient_parent_name","recipient_parent_uei","recipient_city_name","recipient_state_code","prime_award_base_transaction_description","total_obligated_amount","period_of_performance_start_date","period_of_performance_end_date","period_of_performance_potential_end_date","primary_place_of_performance_country_name","generated_unique_award_id","award_type"
"NMJHD63STRC5","","UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.","UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",NA,NA,"ATHENS","GA","PEANUT RESEARCH INNOVATION LAB (PRIL)",22500000,"2018-01-10","2028-01-10",NA,"GHANA","ASST_NON_7200AA18CA00003_7200","COOPERATIVE AGREEMENT (B)"
"YRXVL4JYCEF5","","PURDUE UNIVERSITY","PURDUE UNIVERSITY","PURDUE UNIVERSITY","YRXVL4JYCEF5","WEST LAFAYETTE","IN","THE UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID), THROUGH THE CENTER FOR DEVELOPMENT RESEARCH (CDR) IN THE U.S. GLOBAL DEVELOPMENT LAB (LAB) PLANS TO INVEST IN A FIVE-YEAR COOPERATIVE AGREEMENT WITH A HIGHER EDUCATION INSTITUTION (HEI)  TO SUPPORT A PROJECT ENTITLED LONG-TERM  ASSISTANCE AND SERVICES FOR RESEARCH  (LASER). THIS COOPERATIVE AGREEMENT AIMS TO SUPPORT THE DISCOVERY AND UPTAKE OF UNIVERSITY-SOURCED, EVIDENCE-BASED SOLUTIONS TO DEVELOPMENT CHALLENGES.",57282000,"2018-08-01","2028-07-31",NA,"UNITED STATES","ASST_NON_7200AA18CA00009_7200","COOPERATIVE AGREEMENT (B)"
"NTXJM52SHKS7","","MISSISSIPPI STATE UNIVERSITY","MISSISSIPPI STATE UNIVERSITY","MISSISSIPPI STATE UNIVERSITY","NTXJM52SHKS7","MISSISSIPPI STATE","MS","TO ADD FUNDING IN THE AMOUNT OF $2M FOR THE NEW FEED THE FUTURE INNOVATION LAB FOR FISH",19811931,"2018-08-23","2028-09-12",NA,"BANGLADESH","ASST_NON_7200AA18CA00030_7200","COOPERATIVE AGREEMENT (B)"
"FPU6XGFXMBE9","","UNIVERSITY OF NOTRE DAME DU LAC","UNIVERSITY OF NOTRE DAME DU LAC","UNIVERSITY OF NOTRE DAME DU LAC","KKBMKNFZ5PJ4","NOTRE DAME","IN","BROAD AGENCY ANNOUNCEMENT (BAA) UNDER THE MEDIA LITERACY FOR NEW DIGITAL ARRIVALS",4792898,"2018-09-27","2025-09-30",NA,"UNITED STATES","ASST_NON_7200AA18CA00059_7200","COOPERATIVE AGREEMENT (B)"
"D3LHU66KBLD5","","UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL","UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL","THE UNIVERSITY OF NORTH CAROLINA","N8DMK1K4C2K5","CHAPEL HILL","NC","TB DATA, IMPACT ASSESSMENT AND COMMUNICATIONS HUB (TB DIAH)",35548519,"2018-09-24","2025-03-23",NA,"BANGLADESH","ASST_NON_7200AA18LA00007_7200","COOPERATIVE AGREEMENT (B)"
"D3LHU66KBLD5","","UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL","UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL","THE UNIVERSITY OF NORTH CAROLINA","N8DMK1K4C2K5","CHAPEL HILL","NC","DATA FOR IMPACT",54870392,"2018-09-21","2025-03-31",NA,"UNITED STATES","ASST_NON_7200AA18LA00008_7200","COOPERATIVE AGREEMENT (B)"
"R28EKN92ZTZ9","","MICHIGAN STATE UNIVERSITY","MICHIGAN STATE UNIVERSITY","MICHIGAN STATE UNIVERSITY","VJKZC4D1JN36","EAST LANSING","MI","FEED THE FUTURE INNOVATION LAB FOR LEGUMES SYSTEMS RESEARCH",21520262,"2018-08-23","2028-08-22",NA,"UNITED STATES","ASST_NON_7200AA18LE00003_7200","COOPERATIVE AGREEMENT (B)"
"FTMTDMBR29C7","","THE JOHNS HOPKINS UNIVERSITY","JOHNS HOPKINS UNIVERSITY, THE","THE JOHNS HOPKINS UNIVERSITY","FTMTDMBR29C7","BALTIMORE","MD","UNDER THE GOAL OF THIS APS, TO IMPROVE HEALTH AND DEVELOPMENT OUTCOMES, AND THE SPECIFIC PURPOSE OF IMPROVING AND STRENGTHENING PROGRAMS AND SERVICES BY SUPPORTING INCREASED UTILIZATION OF EVIDENCE-BASED INFORMATION IN GLOBAL HEALTH PROGRAMMING, ROUND 1 FOCUSED PARTICULARLY ON SUPPORTING INCREASED UTILIZATION OF EVIDENCE-BASED INFORMATION IN INFORMED AND VOLUNTARY FP/RH PROGRAMMING, AS WELL AS KM CAPACITY BUILDING IN FIELD PROGRAMMING.",29012707,"2019-02-14","2025-08-13",NA,"UNITED STATES","ASST_NON_7200AA19CA00001_7200","COOPERATIVE AGREEMENT (B)"
"TX2DAGQPENZ5","","UNIVERSITY OF CALIFORNIA, DAVIS","UNIVERSITY OF CALIFORNIA, DAVIS","STATE OF CALIFORNIA CONTROLLERS OFFICE","NUDGYLBB4S99","DAVIS","CA","ONE HEALTH WORKFORCE - NEXT GENERATION (OHW-NG)",57601341,"2019-10-01","2025-09-30",NA,"THAILAND","ASST_NON_7200AA19CA00018_7200","COOPERATIVE AGREEMENT (B)"
"R28EKN92ZTZ9","","MICHIGAN STATE UNIVERSITY","MICHIGAN STATE UNIVERSITY","MICHIGAN STATE UNIVERSITY","VJKZC4D1JN36","EAST LANSING","MI","FEED THE FUTURE INNOVATION LAB FOR FOOD SECURITY POLICY, RESEARCH, CAPACITY, AND INFLUENCE (IL-FSPRCI)",17925820,"2019-05-15","2026-05-14",NA,"UNITED STATES","ASST_NON_7200AA19LE00001_7200","COOPERATIVE AGREEMENT (B)"
